TC3 (°F) - Min,81.200000,81.066667,81.000000,84.600000,84.600000,84.600000,85.600000,85.500000,85.400000,86.500000,88.933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC4 (°F) - Mean,91.576241,76.433333,76.466667,95.108354,78.766667,78.866667,94.867020,79.566667,79.400000,85.896732,84.933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC4 (°F) - Standard Deviation,13.633515,NaN,NaN,13.371387,NaN,NaN,12.794503,NaN,NaN,0.279623,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC4 (°F) - Variance,185.872743,NaN,NaN,178.793977,NaN,NaN,163.699319,NaN,NaN,0.078189,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC4 (°F) - Max,119.233333,76.433333,76.466667,119.866667,78.766667,78.866667,118.600000,79.566667,79.400000,86.533333,84.933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC4 (°F) - Min,76.533333,76.433333,76.466667,78.733333,78.766667,78.866667,79.700000,79.566667,79.400000,85.500000,84.933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC5 (°F) - Mean,89.028169,76.300000,76.866667,91.686321,78.600000,78.666667,92.211178,79.733333,79.633333,84.769935,84.133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC5 (°F) - Standard Deviation,10.781066,NaN,NaN,10.636954,NaN,NaN,10.316374,NaN,NaN,0.670000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC5 (°F) - Variance,116.231394,NaN,NaN,113.144787,NaN,NaN,106.427563,NaN,NaN,0.448900,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC5 (°F) - Max,119.000000,76.300000,76.866667,118.933333,78.600000,78.666667,118.200000,79.733333,79.633333,85.766667,84.133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
