System Date,System Time,Elapsed Time (sec),,Software Elapsed Time (sec),Program Status,TC Tree Average,TC Down,RTD IN,RTD Out,RTD Ambient,Totalized Flow (Gallons),Flow Rate (GPM),Pressure - HI1,Pressure - HI2,Pressure - LOW,Pressure - PIN,Mass Flow Rate(lb/min),Density(lb/US Gal),Flow Meter Inlet Temperature(°F),Draw Weight(lbs),Total Weight Inventory(lbs),Total Gallons Inventory(US Gallon),Drive Gain (%),Raw Tube Frequency (Hz),Hot Flow Rate-Calculated(US GPM),Hot Gallons-Calculated(US Gallon),Hot Flow Rate-Laurel(US GPM),Hot Gallons-Laurel(US Gallon),T1,T2,T3,T4,T5,T6,UPPER ELEMENT,LOWER ELEMENT,COMPRESSOR,FAN,DLB,T2-13,T3-18,Absolute Pressure [inHgA],Gauge/Diff. Pressure [inHgG],BarometricPressure [inHgA],Temperature [°F],Uncorrected [CFH],Corrected [SCFH],Gas Rate (BTU/hr),Heating Value (BTU/ft³),Energy (BTU),Totalizer [Sft3],Gas Selected,Thermal Efficiency (%)
9/25/2020,30:12.3,6384.65,65,12405.57,Heating Tanks.... ,114.5,57.9,58.8,124.1,69.6,0.004,0,0.002,0.002,0.002,0.002,0,8.344,59.681,0.032,385.975,46.262,6.632,151.617,0,0.004,0,0,124.6,121.9,116.6,108.9,107.7,107.3,0,1,0,0,0,203.117,68.789,30.19,0.77,29.421,71.36,38.878,38.289,40758.25761,1064.49,43964.50149,41.301,NatG-1,
9/25/2020,30:15.3,6387.65,68,12408.57,Heating Tanks.... ,114.533,57.9,58.8,124,69.5,0.004,0,0.003,0.002,0.002,0.002,0,8.344,59.694,0.032,385.975,46.262,6.631,151.617,0,0.004,0,0,124.6,121.9,116.4,109,108,107.3,0,1,0,0,0,204.043,68.767,30.19,0.77,29.421,71.35,38.898,38.309,40779.54741,1064.49,43998.56517,41.333,NatG-1,
9/25/2020,30:18.3,6390.65,71,12411.58,Heating Tanks.... ,114.667,57.9,58.8,123.9,69.5,0.004,0,0.003,0.002,0.002,0.002,0,8.344,59.709,0.032,385.975,46.262,6.632,151.617,0,0.004,0,0,124.6,121.9,116.7,109.3,108.2,107.3,0,1,0,0,0,204.871,68.713,30.19,0.77,29.421,71.35,38.812,38.229,40694.38821,1064.49,44032.62885,41.365,NatG-1,
9/25/2020,30:21.3,6393.65,74,12414.56,Heating Tanks.... ,114.733,57.9,58.9,123.8,69.4,0.004,0,0.002,0.001,0.002,0.002,0,8.344,59.72,0.032,385.975,46.262,6.63,151.616,0,0.004,0,0,124.6,121.9,116.9,109.2,108.2,107.6,0,1,0,0,0,205.679,68.749,30.19,0.77,29.42,71.35,38.812,38.223,40688.00127,1064.49,44066.69253,41.397,NatG-1,
9/25/2020,30:24.3,6396.65,77,12417.57,Heating Tanks.... ,114.783,58,58.9,123.7,69.4,0.004,0,0.002,0.001,0.002,0.002,0,8.344,59.728,0.032,385.975,46.262,6.628,151.616,0,0.004,0,0,124.7,121.9,116.9,109.4,108.2,107.6,0,1,0,0,0,206.512,68.767,30.19,0.77,29.42,71.35,38.776,38.19,40652.8731,1064.49,44099.69172,41.428,NatG-1,
9/25/2020,30:27.3,6399.65,80,12420.59,Heating Tanks.... ,114.817,58,58.9,123.6,69.4,0.004,0,0.003,0.002,0.001,0.002,0,8.344,59.735,0.032,385.975,46.262,6.638,151.616,0,0.004,0,0,124.7,121.9,116.7,109.6,108.5,107.5,0,1,0,0,0,207.151,68.661,30.19,0.77,29.421,71.35,38.809,38.219,40683.74331,1064.49,44133.7554,41.46,NatG-1,
9/25/2020,30:30.3,6402.65,83,12423.59,Heating Tanks.... ,114.833,58,58.9,123.5,69.4,0.004,0,0.002,0.001,0.002,0.002,0,8.343,59.811,0.032,385.975,46.262,6.629,151.616,0,0.004,0,0,124.7,121.9,116.4,110.1,108.4,107.5,0,1,0,0,0,208.084,68.638,30.18,0.76,29.42,71.34,38.736,38.15,40610.2935,1064.49,44167.81908,41.492,NatG-1,
9/25/2020,30:33.3,6405.65,86,12426.58,Heating Tanks.... ,115.017,58,58.9,123.5,69.4,0.004,0,0.002,0.002,0.002,0.002,0,8.343,59.839,0.032,385.975,46.262,6.633,151.615,0,0.004,0,0,124.8,122,116.6,110.6,108.5,107.6,0,1,0,0,0,208.728,68.702,30.18,0.76,29.421,71.34,38.716,38.133,40592.19717,1064.49,44201.88276,41.524,NatG-1,
9/25/2020,30:36.3,6408.65,89,12429.55,Heating Tanks.... ,114.9,58,58.9,123.4,69.3,0.004,0,0.002,0.002,0.002,0.002,0,8.343,59.872,0.032,385.975,46.262,6.636,151.615,0,0.004,0,0,124.8,122,115.8,110.6,108.6,107.6,0,1,0,0,0,209.574,68.609,30.18,0.76,29.421,71.34,38.719,38.137,40596.45513,1064.49,44234.88195,41.555,NatG-1,
9/25/2020,30:39.3,6411.65,92,12432.57,Heating Tanks.... ,114.967,58,58.9,123.3,69.3,0.004,0,0.002,0.001,0.002,0.002,0,8.343,59.871,0.032,385.975,46.262,6.635,151.615,0,0.004,0,0,125,122,116.4,110.1,108.7,107.6,0,1,0,0,0,210.069,68.645,30.18,0.76,29.421,71.34,38.676,38.09,40546.4241,1064.49,44268.94563,41.587,NatG-1,
