Flow Rate (GPM) - Standard Deviation,NaN,NaN,NaN,0.035032,NaN,0.036776,NaN,0.039974,NaN,0.045293,NaN,NaN,0.046837,NaN,NaN,0.040661,NaN,NaN,0.055733,NaN,0.062462,NaN,NaN,0.043503,NaN,0.045789,NaN,0.090595,NaN,0.046892,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Variance,NaN,NaN,NaN,0.001227,NaN,0.001352,NaN,0.001598,NaN,0.002052,NaN,NaN,0.002194,NaN,NaN,0.001653,NaN,NaN,0.003106,NaN,0.003901,NaN,NaN,0.001893,NaN,0.002097,NaN,0.008207,NaN,0.002199,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Max,0.000000,0.000000,0.000000,1.794725,0.000000,1.056716,0.000000,1.768346,0.000000,1.796147,0.017527,0.000000,1.790852,0.009336,0.000000,1.057343,0.023581,0.000000,1.054114,0.000000,1.055205,0.022850,0.000000,1.065592,0.000000,1.059883,0.000000,1.808414,0.000000,1.788040,0.008133,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Min,0.000000,0.000000,0.000000,1.149949,0.000000,0.607152,0.000000,1.206618,0.000000,1.205183,0.017527,0.000000,1.176579,0.009336,0.000000,0.741818,0.023581,0.000000,0.448470,0.000000,0.458272,0.022850,0.000000,0.634486,0.000000,0.390605,0.000000,0.684486,0.000000,1.214850,0.008133,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallons (Gal) - Max,0.014274,0.000000,0.096940,14.755479,14.755896,1.940571,1.940905,8.859502,8.860534,8.858014,8.860441,8.860441,4.912666,4.914059,4.914059,0.967701,0.970009,0.970009,0.953785,0.954057,0.962599,0.963065,0.963065,0.967499,0.967862,1.959932,1.959932,1.988615,1.988707,6.882164,6.884389,6.884389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallons (Gal) - Min,0.014274,0.000000,0.096940,0.019423,14.755896,0.010257,1.940905,0.018415,8.860534,0.008040,8.860441,8.860441,0.020208,4.914059,4.914059,0.011663,0.970009,0.970009,0.006867,0.954057,0.007568,0.963065,0.963065,0.010573,0.967862,0.010918,1.959932,0.017894,1.988707,0.019450,6.884389,6.884389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Mean,87.200000,87.100000,82.600000,118.174747,112.000000,119.080585,120.100000,117.012235,115.200000,118.033632,117.900000,117.900000,119.557704,120.200000,120.200000,120.327007,123.000000,122.933333,116.915572,120.400000,119.572857,120.200000,120.200000,110.097037,115.633333,114.671429,115.600000,118.883034,120.900000,119.265174,118.300000,118.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Standard Deviation,NaN,NaN,NaN,4.214121,NaN,4.709864,NaN,3.756718,NaN,5.126377,NaN,NaN,4.868826,NaN,NaN,6.236243,NaN,NaN,7.308513,NaN,1.409342,NaN,NaN,11.192656,NaN,2.379558,NaN,5.782531,NaN,1.364990,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Variance,NaN,NaN,NaN,17.758816,NaN,22.182814,NaN,14.112934,NaN,26.279742,NaN,NaN,23.705462,NaN,NaN,38.890728,NaN,NaN,53.414364,NaN,1.986244,NaN,NaN,125.275547,NaN,5.662297,NaN,33.437669,NaN,1.863196,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Max,87.200000,87.100000,82.600000,120.700000,112.000000,120.800000,120.100000,118.366667,115.200000,119.200000,117.900000,117.900000,120.900000,120.200000,120.200000,123.300000,123.000000,122.933333,120.400000,120.400000,120.200000,120.200000,120.200000,115.700000,115.633333,115.600000,115.600000,121.100000,120.900000,120.100000,118.300000,118.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Min,87.200000,87.100000,82.600000,82.400000,112.000000,99.600000,120.100000,88.633333,115.200000,78.500000,117.900000,117.900000,91.100000,120.200000,120.200000,101.800000,123.000000,122.933333,95.800000,120.400000,115.100000,120.200000,120.200000,78.766667,115.633333,104.133333,115.600000,98.500000,120.900000,109.300000,118.300000,118.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Mean,96.400000,96.133333,75.633333,58.291790,58.233333,58.399298,58.400000,58.169866,58.200000,57.930222,57.900000,57.900000,58.471069,58.800000,58.800000,58.086861,58.366667,58.400000,58.300000,58.300000,58.197619,58.100000,58.100000,58.249877,58.200000,58.338560,58.200000,58.352495,58.366667,58.251907,58.000000,58.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Standard Deviation,NaN,NaN,NaN,0.056076,NaN,0.004794,NaN,0.063778,NaN,0.053424,NaN,NaN,0.383521,NaN,NaN,0.060141,NaN,NaN,0.000000,NaN,0.015300,NaN,NaN,0.049353,NaN,0.111742,NaN,0.084105,NaN,0.114545,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Variance,NaN,NaN,NaN,0.003145,NaN,0.000023,NaN,0.004068,NaN,0.002854,NaN,NaN,0.147089,NaN,NaN,0.003617,NaN,NaN,0.000000,NaN,0.000234,NaN,NaN,0.002436,NaN,0.012486,NaN,0.007074,NaN,0.013121,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Max,96.400000,96.133333,75.633333,58.400000,58.233333,58.400000,58.400000,58.300000,58.200000,58.000000,57.900000,57.900000,58.800000,58.800000,58.800000,58.300000,58.366667,58.400000,58.300000,58.300000,58.233333,58.100000,58.100000,58.300000,58.200000,58.500000,58.200000,58.500000,58.366667,58.500000,58.000000,58.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Min,96.400000,96.133333,75.633333,58.200000,58.233333,58.366667,58.400000,58.100000,58.200000,57.800000,57.900000,57.900000,57.800000,58.800000,58.800000,58.000000,58.366667,58.400000,58.300000,58.300000,58.100000,58.100000,58.100000,58.200000,58.200000,58.200000,58.200000,58.200000,58.366667,57.933333,58.000000,58.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinet (°F) - Mean,67.000000,67.000000,66.800000,66.758872,66.900000,67.001754,67.100000,66.877302,66.800000,66.750597,66.700000,66.700000,66.807390,66.800000,66.800000,66.900000,66.900000,66.900000,66.900000,66.933333,67.100000,67.100000,67.100000,66.700000,66.700000,66.700000,66.700000,67.000000,67.000000,66.474572,66.800000,66.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambient (°F) - Standard Deviation,NaN,NaN,NaN,0.081106,NaN,0.010126,NaN,0.073301,NaN,0.058788,NaN,NaN,0.024641,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.143205,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinent (°F) - Variance,NaN,NaN,NaN,0.006578,NaN,0.000103,NaN,0.005373,NaN,0.003456,NaN,NaN,0.000607,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.020508,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinent (°F) - Max,67.000000,67.000000,66.800000,66.900000,66.900000,67.100000,67.100000,67.000000,66.800000,66.900000,66.700000,66.700000,66.900000,66.800000,66.800000,66.900000,66.900000,66.900000,66.900000,66.933333,67.100000,67.100000,67.100000,66.700000,66.700000,66.700000,66.700000,67.000000,67.000000,66.800000,66.800000,66.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinent (°F) - Min,67.000000,67.000000,66.800000,66.666667,66.900000,67.000000,67.100000,66.800000,66.800000,66.700000,66.700000,66.700000,66.800000,66.800000,66.800000,66.900000,66.900000,66.900000,66.900000,66.933333,67.100000,67.100000,67.100000,66.700000,66.700000,66.700000,66.700000,67.000000,67.000000,66.300000,66.800000,66.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Mean,86.066667,86.000000,80.300000,57.939673,57.933333,57.976491,58.400000,57.909511,57.500000,57.668457,57.633333,57.600000,58.641116,58.400000,58.400000,57.855231,58.200000,58.200000,57.877616,57.866667,58.303095,58.266667,58.366667,58.286667,55.433333,57.893612,58.000000,58.141118,57.633333,58.024378,54.866667,55.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Standard Deviation,NaN,NaN,NaN,0.255699,NaN,0.449818,NaN,0.391370,NaN,0.310914,NaN,NaN,0.329050,NaN,NaN,0.273217,NaN,NaN,0.097611,NaN,0.198391,NaN,NaN,0.629962,NaN,0.811347,NaN,1.292507,NaN,1.423012,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Variance,NaN,NaN,NaN,0.065382,NaN,0.202337,NaN,0.153171,NaN,0.096668,NaN,NaN,0.108274,NaN,NaN,0.074648,NaN,NaN,0.009528,NaN,0.039359,NaN,NaN,0.396852,NaN,0.658285,NaN,1.670575,NaN,2.024962,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Max,86.066667,86.000000,80.300000,59.233333,57.933333,58.900000,58.400000,59.333333,57.500000,59.000000,57.633333,57.600000,59.633333,58.400000,58.400000,58.300000,58.200000,58.200000,58.133333,57.866667,58.733333,58.266667,58.366667,59.833333,55.433333,60.700000,58.000000,63.033333,57.633333,63.900000,54.866667,55.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
